week,spend_paid_search_google,contrib_paid_search_google,spend_social_media_meta_ads,contrib_social_media_meta_ads,spend_social_media_youtube_ads,contrib_social_media_youtube_ads,spend_affiliate_marketing,contrib_affiliate_marketing,spend_email_marketing,contrib_email_marketing,spend_e-commerce_company_site,contrib_e-commerce_company_site,spend_call_center,contrib_call_center,seasonality_index,trend,price_hike_flag,new_subscribers
2023-03-13,470351.8379890263,6606.839122158232,355049.0655399709,4788.333905083157,290729.659245006,4904.17247662688,149281.17733668297,11627.33042125146,58035.85019378601,14358.611585401371,167338.033289454,8346.450887705314,75342.74035706084,13632.930338051792,1.1921910812570773,1.03,0,69595
2023-03-20,462223.35483431583,6602.897705745742,312935.5103655338,4740.906276742814,258243.4432997578,4828.804929612522,138771.7247182815,11465.312433501636,67207.69831165984,15016.179283124367,147060.72664262645,7975.863867150332,75706.65575238997,13717.570510292273,1.1666852200595992,1.033,0,69250
2023-03-27,405282.4558048973,6424.342548497474,366287.33479482925,4869.909536626516,286568.47098717,4816.446672755247,165516.15394117005,12003.717905939615,36178.184846229604,12378.200453471858,164300.2527190076,8146.25010450095,77151.14238466615,13800.147655942572,1.1388744229433274,1.036,0,68839
2023-04-03,490179.29655744263,6673.12717614011,351529.650186641,4869.195833707909,314549.8074762733,4844.205426749021,138269.36727846612,11496.383392579737,53928.27468259919,14003.66481487478,195831.68827250984,8532.09386310896,63299.17937117227,12969.83058871134,1.1099999999999999,1.039,0,69749
2023-04-10,437400.74738016364,6532.234287469004,462124.5223924641,5112.614720599363,310594.4015072227,4855.568772613693,80698.99360866898,9709.273955518724,39594.560608424654,12697.638890390874,125198.432473682,7690.0336221475545,88693.41713714716,14339.794857417513,1.0812628938920046,1.042,0,66060
2023-04-17,331256.6029693409,6137.7874742449085,333245.1060768883,4905.621538839577,234936.715665998,4765.194822898228,118326.17067754499,10773.07338396514,54746.97088463202,14080.981708772888,202311.48159278926,8549.320422773788,87867.61062929129,14358.349433856209,1.05376084311596,1.045,0,68146
2023-04-24,429500.0627265999,6482.5282737681955,278355.17551646946,4679.651908763379,305429.38689767243,4803.337345460476,90699.8201851296,9981.040744345519,48689.13349312273,13626.33691069237,161143.003883379,8196.999598976385,57583.9157027104,12604.044623297283,1.028432931694859,1.048,0,65812
2023-05-01,323289.3919336801,6099.653908514865,362549.2944469421,4844.505164055372,313693.6998083343,4835.618843134729,107043.00394084313,10454.02400003953,31690.941741524697,11657.574357884434,220173.44312567473,8775.937967901882,90487.95097542331,14408.884437411365,1.0060146261618026,1.051,0,66828
2023-05-08,470276.0241045818,6605.605268748371,365399.76787802356,4896.113499058937,451048.44225203525,5002.4132258815325,157780.71083191806,11778.653408947777,59282.969915684844,14397.88564726706,96200.88932848349,7250.1198355185315,110790.27472918836,15249.760611894919,0.9870057727412522,1.054,0,71281
2023-05-15,396005.9271210998,6392.638368189318,445143.13026683056,5085.663242428939,412610.67667690024,5051.450845816346,135938.3452724424,11416.696279117752,43949.99287191269,13192.535438933339,152470.1978713541,7895.715424333844,82579.40498655589,14166.591822799226,0.9716532580045089,1.057,0,68595
2023-05-22,385211.01091637916,6342.303651233249,408457.7872140205,5063.639323513456,248805.3989664708,4921.574533366357,102526.73928553134,10467.425411888631,44660.99761626445,13193.665756064784,120973.61470680643,7491.243560653162,74940.12256897241,13703.61161756971,0.9599491699423585,1.06,0,66085
2023-05-29,345525.63644768466,6185.901456563835,374980.97414046567,4985.28704640167,282756.99830704945,4870.173973075136,94657.06583899003,10086.86814458013,39302.4758871031,12612.766881874213,151081.96867726167,7904.280354428667,77869.95178388718,13837.822053386615,0.9516443839140302,1.063,0,65095
2023-06-05,497803.3070939224,6685.109279725606,452431.20238536934,5122.324474978105,212193.47988977982,4743.6415654588245,120819.55232190652,10872.157980412177,43457.16723312445,13042.121040558335,188668.30653881302,8426.236979793919,89228.85150452841,14396.520885633561,0.9462765924979346,1.066,0,68337
2023-06-12,387637.6414344958,6368.219108056556,266786.58619740047,4734.609332379728,264557.5791621908,4734.708549944209,89585.99626547181,9953.047172493976,54278.90440694917,14055.981904270422,173727.06810925857,8327.481648567586,54039.92591739172,12334.084246472838,0.9432109526378272,1.069,0,65400
2023-06-19,365733.7742269514,6268.0446952919365,305217.39270751766,4701.726305346618,318936.30021542043,4804.001033251657,103221.49306508547,10327.951421607908,48107.55659063595,13571.867380157448,171131.78508681947,8281.573814100968,82465.86054465953,14021.70466795197,0.9416907868835931,1.072,0,66517
2023-06-26,371829.3159609416,6286.233308891225,285139.68410161324,4629.879777474451,372351.217253294,4905.253439917413,127800.2367887811,11079.017226687842,53286.62002282481,13997.155999083261,174428.52950169786,8313.586518221526,74143.04075805785,13651.067273451423,0.940895190825406,1.075,0,68944
2023-07-03,442584.7348442679,6529.634913440685,322713.31377909624,4722.454799002231,256254.9697353835,4827.029820468183,148882.8009026674,11637.905390199312,53619.218539288435,14044.25103659033,187118.58842169802,8461.203810439107,107717.37519434068,15119.196073279974,0.9400000000000001,1.078,1,70501
2023-07-10,429235.52514912625,6498.918900552928,253631.96967105838,4532.571720853985,260751.2135959322,4781.450487966513,135219.036805611,11384.21165674901,63206.61655528167,14748.737648175287,144701.23853199123,7964.492638480694,77387.40899292563,13897.320881449476,0.9382383797490672,1.081,0,69447
2023-07-17,433018.6089276791,6509.33364268358,394460.56627700827,4890.445872935695,171162.6582156807,4614.716363711509,62717.7622850475,8896.667862107925,46572.13849135621,13473.068046091985,204739.73743146678,8602.438714306629,105018.3141667928,15031.60765885581,0.9349573316834534,1.084,0,66625
2023-07-24,434465.68024063064,6514.396393442728,334444.41120308585,4831.837433310723,290240.04476730555,4698.958863925509,127609.1682257565,10979.734350070195,35231.421831542684,12130.182289789856,203193.30896349193,8667.189319434163,63443.88953326989,13073.147851779595,0.929666658678778,1.087,0,66376
2023-07-31,571331.8080696369,6876.498321668208,247043.55938481394,4550.917334056495,236255.13528842622,4664.403090440344,121800.83933081444,10978.241951365428,60672.22416571983,14510.714761671923,193476.32781796352,8580.31541611582,88808.88750204188,14348.544849734351,0.922077382109916,1.09,0,69855
2023-08-07,367486.79868923075,6309.03020650398,278909.46431547205,4562.978553217356,268233.6343580356,4693.225758765003,130347.25713431733,11199.689233572664,46685.118279027454,13467.36701799577,199478.67049629422,8627.492337605097,84791.00395686843,14216.63765862405,0.9121272338706415,1.093,0,68282
2023-08-14,359020.581674277,6238.622427429854,371945.96932151366,4840.4474795382785,247388.3533099447,4678.303207372673,160405.24204128017,11884.228360571295,61145.924445773766,14586.490871680764,190374.63002830307,8542.165987576664,66964.29128202827,13236.324657829755,0.8999916148438473,1.096,0,69563
2023-08-21,334898.18174016976,6135.3670655869955,408668.85975260666,4995.328843819699,294344.2467448466,4739.563727346748,68419.04307988143,9272.021265973439,53833.7711318247,14092.924032115297,251227.56559558737,9074.522485398964,82660.9417195541,14063.177473356405,0.886079275926906,1.099,0,67560
2023-08-28,449278.35380603967,6544.468114932781,489771.1624184251,5193.421744222181,194536.29651860212,4623.5342457626375,105222.41437022237,10338.40323962255,48688.62469796655,13626.966134924147,176951.70401316215,8481.494167893052,98187.782552474,14780.851098960842,0.8710128869491135,1.102,0,68758
2023-09-04,490317.78341767134,6678.563934437611,553970.3726205131,5345.178060075199,211977.28527654056,4575.900300826259,134772.65806983388,11255.959151874018,53487.758940462954,14016.094469591866,169252.0873582898,8283.813175214269,75143.12443570099,13753.493370991195,0.8555955596909516,1.105,0,68955
2023-09-11,390884.20338761,6379.275370883616,379008.66032931977,5095.962059623523,427754.8267216979,4865.27976526858,80460.14001365144,9659.184494696397,69510.12560126299,15140.93274411229,153626.53468749177,8054.120175968891,54620.56026245355,12328.337291854474,0.840765231042946,1.108,0,66351
2023-09-18,332787.4818429978,6134.393691142438,280732.3315977695,4762.551494673687,222754.64512355815,4755.032181065849,156898.72620133773,11714.347770544086,70769.80529053754,15260.382702999224,143870.80652977573,7880.593589732263,79736.55760283831,13881.592884952863,0.8275395419742717,1.111,0,68094
2023-09-25,334041.5027447008,6126.221095024796,200756.76034880837,4350.248962072271,234192.8652927216,4697.064175281425,129208.91531751645,11248.485259708785,50693.811351327786,13878.707675795145,136443.48743396235,7741.489301420653,66463.65357811231,13183.1625960806,0.8169544246628466,1.114,0,65818
2023-10-02,452047.4230259761,6552.56682426002,368739.8023640685,4786.08923487132,410214.8116992788,4896.427285575153,141164.5996460851,11482.317021727764,51601.905933170754,13871.028669983218,148892.09403691784,7905.8122079427085,74864.88592004176,13650.038083703574,0.8099999999999999,1.117,0,67390
2023-10-09,459460.33369627537,6592.184974824417,293094.1233282772,4681.996761432008,474304.03015442437,5052.199321635414,105726.40846195514,10575.757573594055,60762.401574663854,14575.486328570376,177526.1866421775,8299.212986649276,78776.18345472318,13883.041261569511,0.8075575677136531,1.12,0,67542
2023-10-16,443452.3414644156,6546.3861692501,320924.99178742204,4731.901767844119,229706.0022704795,4900.924203460455,140344.09224915528,11407.02042870824,41543.38967232653,12954.879586753575,191700.32949742,8508.332682279979,54415.21675976724,12321.625795796079,0.8103414307456557,1.123,0,66762
2023-10-23,346759.22341690445,6203.539483351333,307153.2240658134,4706.6085712108015,277905.06259271817,4850.9770429099935,146711.78889972594,11619.837527224974,53330.70372618255,13975.191592056271,181789.97204932568,8431.635240791049,55765.12491018983,12333.020248460609,0.8188490362977416,1.126,0,67595
2023-10-30,418572.9058453376,6449.374401442106,340144.63795085304,4792.4807246603905,320493.33305643057,4871.357126719822,125821.95050342921,11152.742951733975,49741.371520461435,13714.73341756168,153206.26528996005,8074.237432037689,87231.00253288288,14252.441036605791,0.8333224528745932,1.129,0,68691
2023-11-06,409334.86473125825,6429.6688625900615,424618.61615513504,5018.184981538485,403721.85866433557,4973.238213941756,125860.0223174674,11102.658807011216,53139.08211457553,13991.544332028594,211506.45974069872,8681.051833613597,72159.2195574548,13551.817247639203,0.8537235623193865,1.1320000000000001,0,68708
2023-11-13,417495.08773832105,6455.905540694588,360993.39972117415,4938.549344077092,240788.57529430575,4855.306859329553,126758.58098204315,11120.753752994102,41666.31194050594,12926.616556009634,205879.44353053317,8704.52765618944,41528.83487269149,11106.936301443773,0.8797245652013377,1.135,0,65776
2023-11-20,469714.3022358552,6617.413286140291,338895.5614072918,4858.773810511972,285283.3292434734,4831.153715370537,98416.36838151547,10294.756135012887,34104.325066910314,11944.92389601255,174412.3092402294,8382.02354084971,91772.66054912203,14428.489844746915,0.9107145221043399,1.138,0,66546
2023-11-27,417887.6439019746,6467.119008490691,277504.2373021932,4659.740762830604,346640.25456370466,4890.562273811489,116311.78299399118,10761.596686139412,29270.16564008708,11176.090356321545,157147.93493673508,8117.002653367242,84085.5463291136,14187.38885332047,0.9458217330734147,1.141,0,65757
2023-12-04,454313.0850457516,6572.994463607505,232772.19387069502,4434.403778229213,326085.96446799714,4901.017881876721,116186.93668869103,10801.198412712589,38826.15887010392,12462.18433819312,199194.97722904297,8563.403621541729,69291.87763945274,13378.246717046015,0.983950846015446,1.1440000000000001,0,66195
2023-12-11,405406.3255591113,6423.035618263806,315958.44636486686,4651.262979177891,277430.6357261941,4850.4602835279165,129584.84660883738,11164.433043450463,45413.24715060667,13236.036558122109,186579.07556201366,8492.162480046922,60247.54683412638,12730.645560817975,1.0238327350621497,1.147,0,67618
2023-12-18,423129.55189519876,6474.0227278752955,346235.2214427176,4794.109408742286,291970.6221290375,4836.506712595899,144995.60617275737,11560.514732409705,47068.084133512384,13431.974360600021,129315.54592047333,7745.473882702753,92537.11844471506,14502.380105805176,1.064084451082536,1.15,0,69494
2023-12-25,450503.05806708324,6561.918574304685,473755.0939505918,5118.37853170387,217506.2514978011,4727.337476413054,93536.59795053977,10192.246678313837,69372.31162429517,15113.254237036088,177620.69104054582,8281.14243059204,85240.25933840644,14245.954220748976,1.1032759615684198,1.153,0,69949
2024-01-01,283427.53441154666,5916.700688622808,359119.216503102,4968.2793679940505,285709.5753615201,4755.035003667588,116874.77424201056,10769.07966339201,61059.93369907298,14656.368914378867,189171.25342260333,8478.91961892666,115739.0342402611,15403.955790825572,1.1400000000000001,1.156,0,71512
2024-01-08,374426.3026914159,6281.00787210188,418791.76577161404,5050.8041548005185,284016.7505994627,4768.834561420972,157036.38869147433,11784.740038005742,40379.08883658373,12834.632465148821,148510.6824729286,8020.171089615289,86302.82898087407,14351.301431212043,1.172941158645275,1.159,0,69849
2024-01-15,362370.18765657634,6250.353058957248,315049.30810225935,4836.857838016448,313930.1933775754,4816.375379670086,101410.2942796859,10485.589717366103,53477.08452450957,13982.705635541273,186644.51874931052,8417.647915608864,85815.54711893022,14264.82995344615,1.2009403944549308,1.162,0,70931
2024-01-22,348889.7721405326,6194.729426437581,267053.93635080825,4618.883756227,266680.36687085906,4782.655344985413,99443.749567742,10254.22425706477,45929.217636496745,13362.069814851875,129081.21301597738,7725.938072434108,77496.08104837152,13847.348120035178,1.2230513733286215,1.165,0,68357
2024-01-29,377988.6199018653,6306.00598586135,282441.82664373395,4595.205017276158,328292.3113527083,4842.090957486528,125057.65479577985,11000.899555751379,47156.36161959905,13446.44790797699,226766.51350042596,8789.671380815444,92251.63800801187,14528.94347381427,1.2385855388536884,1.168,0,70748
2024-02-05,519595.30489875167,6745.9984596239465,299234.17548249726,4641.924051197813,360762.9490691897,4912.437585675801,141109.629762133,11459.04844313835,51853.25649415382,13871.902736259215,223678.24947708013,8881.435062241302,89376.27801872231,14435.246505821826,1.2471434310687195,1.171,0,72374
2024-02-12,330733.51074454054,6151.8607525583875,498992.8812704615,5136.557372284248,309325.75966010796,4895.21787557687,120285.65138901648,10989.465274763623,56191.71116975394,14241.177343098198,171161.89329939624,8378.409952492459,98775.87512847793,14819.342140014214,1.2486305619503062,1.174,0,71964
2024-02-19,477462.26836731844,6627.88477093558,292502.93245429295,4811.845107082572,321105.3845039522,4898.151143687066,153224.01476092474,11722.559542984005,46607.41516115985,13442.733235711577,192720.90182436755,8529.885081430815,72180.15622044072,13591.214081200085,1.2432570320263956,1.177,0,70839
2024-02-26,265370.41827073565,5827.700497249443,408694.24426154414,4988.153559564073,303189.32085467206,4879.338009275753,141419.84956416316,11535.15403878092,60638.515327343586,14550.12074665669,95652.73119700438,7165.646161850334,73468.88790584056,13590.197401749154,1.231520996063442,1.18,0,69261
2024-03-04,373209.19760113803,6273.095534513683,286795.09753390815,4735.951080932196,300005.06358548487,4863.999461050026,141045.50167225156,11507.301586953005,38580.61773857596,12622.454053143441,139527.83189071337,7690.833443311782,72813.4524363203,13552.554382281493,1.2141770017956681,1.183,0,68353
2024-03-11,413020.2452084004,6433.767842300334,415210.11090119707,4984.301248810677,256706.51798742916,4800.104453245565,133852.91253310232,11337.82276784485,50063.39062362268,13681.888871345698,169717.73779467546,8178.177818564469,91862.02581768484,14500.750359457426,1.1921910812570775,1.186,0,70613
2024-03-18,446897.78650874225,6549.181706631319,376946.5676274104,4964.6117288955165,318989.6557003985,4840.346699121238,178191.32750865212,12222.090791690145,75976.73726595832,15489.180882954668,142475.34425005992,7881.234544423686,102475.61660445097,14962.124757769596,1.1666852200595992,1.189,0,73220
2024-03-25,456898.1263834284,6584.501782124053,339035.3471639337,4867.692657130741,294162.80409519066,4833.074185223515,114870.9577783489,10947.019347378371,52230.79742625275,14023.866193233544,205003.87689207305,8596.230934040635,73117.39260276049,13654.838162901142,1.1388744229433274,1.192,0,70551
2024-04-01,463467.77881599404,6605.389796751487,347146.6231705196,4857.458024283045,425590.0985358357,4976.203602683533,69911.94269833715,9155.998002231458,64332.14506606173,14821.683378966954,249905.3785761798,9070.437412771475,73628.39408310363,13602.48616742916,1.1099999999999999,1.195,0,69918
2024-04-08,372101.994220125,6306.3370531345245,304164.8613199427,4738.381259827356,394401.2941485145,5020.305071729334,160106.35903792852,11756.506849412468,50915.20178173208,13866.750661280521,138818.48481997443,8021.047549030312,84711.15835804699,14177.893629766111,1.0812628938920046,1.198,0,69471
2024-04-15,363011.85658683465,6254.174332469846,381225.0541037456,4906.041652204866,323150.79315339006,4977.852853553996,108557.51422607937,10698.69884055555,55807.770953297964,14211.359683012462,150688.78085701825,7971.96021876879,76313.57749980647,13779.229377127498,1.0537608431159597,1.201,0,69066
2024-04-22,468638.0705005723,6606.244550152318,318151.1563761454,4793.649740234973,254216.56741831393,4874.5900793639,122697.01110857583,10975.462919364596,49432.16805607308,13700.415468493551,188240.69289084757,8429.471016012538,94280.80479709835,14611.818479628295,1.028432931694859,1.204,0,70681
2024-04-29,384695.65400947083,6352.627987020285,264207.59653629264,4593.835674812859,233255.31168099493,4775.993546763806,152738.76712151317,11711.341496547337,48295.92418835795,13569.890273082901,236389.06519748672,8943.276824456832,46223.3406407143,11681.573043339262,1.0060146261618026,1.207,0,68229
2024-05-06,297945.09413296625,5973.150944661305,260544.36979762666,4512.993937952389,371468.5771853319,4889.917795459642,79943.51147352686,9718.482050324832,42205.1760327458,12958.474738337782,137216.89906110338,7966.379157011037,67599.42429624658,13154.87255026201,0.9870057727412529,1.21,0,65659
2024-05-13,309337.02287972154,6006.164477189897,362081.1542405484,4803.00987939411,315764.9535088283,4888.881015501255,88708.8196473465,9788.472812179509,54303.01358957553,14054.742834840083,188716.26428074297,8434.046458212197,68263.75499057831,13257.507438896107,0.9716532580045089,1.213,0,67145
2024-05-20,326443.8171198711,6086.571438104404,460536.38794873044,5094.554904971141,328808.60420349665,4903.094911950158,79968.05157202866,9441.852397566852,41484.62810814232,12911.163046129039,243745.4597784588,9003.848914696773,45194.65981420783,11456.134407200832,0.9599491699423583,1.216,0,64311
2024-05-27,439772.85952430114,6513.33253547869,361199.41295014066,4964.674954607622,195324.84078154844,4744.013319210077,100146.59274936441,10180.764354502198,56655.85236313429,14238.343316859857,122188.42981372564,7763.504021534214,65545.42333446794,13012.187199416469,0.9516443839140302,1.219,0,66675
2024-06-03,411394.05888564524,6439.914902775289,341695.3171723082,4874.378772235831,355646.3088934908,4854.989153085664,130990.91515042484,11149.840454566724,60852.8700444591,14597.586113278157,135162.57776039588,7703.131069802496,66272.6582623111,13123.515641463757,0.9462765924979347,1.222,0,68697
2024-06-10,455238.82832542143,6574.523307234813,370007.829772178,4915.800266067882,327265.2202928618,4881.611274317375,133104.69607031927,11283.8164934618,53665.3140723723,14080.071558055544,165173.76877387066,8121.89761503853,76983.43018221755,13764.29713597404,0.9432109526378272,1.225,0,69589
2024-06-17,365819.78829307726,6280.579020950006,441420.1219194777,5083.106739010718,233374.15893513133,4781.028775528146,126906.85448321384,11143.039822362145,47137.51266444308,13483.116793450878,161779.40555006062,8135.000644493332,96694.48837490396,14710.006798834005,0.9416907868835931,1.228,0,70042
2024-06-24,412683.17528613715,6432.96242116072,365356.77509546996,4970.1823952502455,271708.51155300305,4767.545375316886,84680.85290269084,9806.896002188707,54539.65579308696,14094.768060584784,208441.04507137756,8658.114502820652,76324.09023213947,13812.373205854983,0.9408951908254061,1.231,0,68884
2024-07-01,450047.2315173869,6558.677300135636,321235.0938416384,4823.833443906772,315823.03226139117,4818.074298584002,62247.414084183896,8604.250205549597,46913.26944453587,13462.849725071557,188458.09019372932,8527.034274554673,64537.79419593269,13053.56425541718,0.9400000000000001,1.234,1,64782
2024-07-08,375252.27682238095,6315.134189541763,427440.20970419224,5031.712550442838,303148.0079013746,4831.005964296555,121358.83963475956,10790.615460121653,59355.47125465149,14459.54400508565,117876.3279125255,7569.859172953472,79145.68188179706,13876.756798142844,0.9382383797490673,1.237,0,68056
2024-07-15,436542.0190045929,6512.000282183084,380012.95069231297,4986.23455430508,282469.7288517867,4812.536600955961,108205.59915904161,10568.457339906041,31685.939157848763,11730.489938659155,198039.36410152836,8492.756695544223,95737.60432162024,14675.540227218273,0.9349573316834532,1.24,0,67415
2024-07-22,347045.9247146679,6202.443576837437,457502.9194397194,5132.220000104018,293790.70391604234,4815.868308011738,131484.6442929153,11192.4220346089,46643.92631881354,13330.023956891753,159786.13894255224,8169.939485945866,65360.61775827643,13167.581677045884,0.929666658678778,1.2429999999999999,0,67897
2024-07-29,370955.6922747943,6279.744719156558,362826.41060553346,4981.515238125464,284881.3573075869,4806.3851844738665,137548.84065553176,11393.800224510813,30091.880048760024,11397.716362778201,224605.65259294337,8813.11325992036,66341.37674117828,13135.66211770765,0.922077382109916,1.246,0,66451
2024-08-05,369460.9684801337,6277.769732309428,264287.167779565,4666.658946744291,309153.75072614814,4831.706320969869,123456.03580146705,11065.903147669911,35049.39169772795,11991.736817369829,158034.4362247078,8209.396582025376,88378.23438911335,14331.146871727862,0.9121272338706414,1.249,0,66782
2024-08-12,304332.8283528768,5999.121718390634,254228.85605280346,4515.055630553418,388289.5183795894,4936.925574074915,139003.32713439636,11416.177813265736,63638.62229813909,14711.77298613692,157718.46509142173,8095.940454810016,76676.958264038,13807.587228262222,0.8999916148438473,1.252,0,69243
2024-08-19,438957.79846284655,6507.793239130215,465564.9552561875,5047.716158072139,146000.49354412215,4698.922328151886,125730.28435287671,11127.222470791787,58951.84981971686,14486.967599709216,198939.6063781586,8558.27271968774,89712.27036064211,14416.763402638124,0.8860792759269064,1.255,0,70152
2024-08-26,362447.8127837821,6263.397351561071,470656.6004548308,5172.412450655689,285788.98412941897,4738.879636234377,133251.61764003668,11285.231839868713,42805.1976671521,13081.460857972332,206702.42688179278,8694.748216566231,79795.29812307055,13975.34711186643,0.8710128869491137,1.258,0,68376
2024-09-02,400999.529498215,6392.206315005373,337433.65507021797,4938.391303779885,310590.7452823468,4795.346551210427,102383.16842825295,10445.315098846715,34974.96543959103,12070.810073497274,195683.47773776713,8606.96625254617,90524.9547213435,14459.622542726669,0.8555955596909516,1.2610000000000001,0,67259
2024-09-09,438459.73271247273,6521.349519708474,323176.88752048084,4818.016810867255,317759.639381226,4836.130719181764,115509.71465421353,10751.791278078295,20354.711621583487,9522.578979892907,121004.09389153171,7640.482048167245,64473.82828939039,13093.45570194667,0.8407652310429461,1.264,0,62296
2024-09-16,435722.4940823955,6518.927778710674,452301.10045695415,5081.537937430772,277685.12512072263,4809.542359536238,124919.40241642392,11039.516615147852,44565.04492067365,13056.383930776676,198831.20539748878,8508.02164133364,79818.730238176,13913.438179812572,0.8275395419742717,1.267,0,68292
2024-09-23,453230.8087178229,6572.18776089676,272506.8022569558,4733.091741524323,194596.69305128505,4673.58290196708,140513.21188543548,11448.71641081037,74204.15012247402,15377.082291516323,143799.21819139604,7961.057464056723,76839.64978455265,13793.268565405975,0.8169544246628465,1.27,0,69883
2024-09-30,392121.16123924614,6377.026308799732,287369.10867309215,4647.024942396915,319679.72902284656,4772.380989469007,110156.4706943857,10704.070039059734,54348.84271463647,14184.32055952396,188234.66390558923,8428.10620562073,61761.63613843804,12863.762295239141,0.81,1.2730000000000001,0,66563
2024-10-07,366136.1350364677,6270.0777079028685,395032.87562823313,4917.158994454728,403641.0128498511,4924.098845600155,133029.1813933028,11242.037433514262,44404.2771395051,13224.079922024335,130169.29476103288,7744.98914061519,56547.83078196968,12423.414186047556,0.8075575677136532,1.276,0,65657
2024-10-14,393622.54312748805,6366.535870174077,322377.6413998287,4808.738404224263,207968.31570503174,4777.325138415882,113354.03020211552,10771.722985815357,54650.80209500306,14092.991920292037,195621.27516400724,8484.403438144265,90286.23552911993,14394.619677249968,0.8103414307456558,1.279,0,69597
2024-10-21,265013.2452833576,5803.152950253719,349641.469329595,4846.384490325926,351829.6808218913,4867.689457190882,117061.44581679674,10826.99614930308,34390.41647005557,12066.92098972003,151769.03834924195,8064.862073455252,74735.71426673033,13705.921077003446,0.8188490362977415,1.282,0,64850
2024-10-28,284231.002206153,5872.478810384875,338558.9971032841,4828.842277415815,280288.48661262635,4832.66617850979,140737.97605060184,11435.96694111034,47026.766373023645,13379.163309992406,135107.78724088173,7751.654101806933,64665.795775290055,13055.549785645386,0.8333224528745931,1.2850000000000001,0,65452
2024-11-04,294184.0310116478,5927.067168264701,373630.21841592534,4911.665989629759,296320.5392502692,4831.135047399002,70173.4907236461,9256.303034393351,50994.77473015738,13795.258522017995,204983.704776884,8582.823951632376,78557.31594615002,13845.837838843483,0.8537235623193867,1.288,0,65717
2024-11-11,320220.2537918815,6054.773324318293,448523.7302919602,5096.183568516427,236826.08935776306,4751.245989271411,87588.19179813098,9701.637695693,49138.99348178951,13651.480689981474,188457.5582586863,8515.11459346442,96920.28286023953,14722.13219963486,0.8797245652013376,1.291,0,68186
2024-11-18,431981.93813787494,6487.498007367927,356340.94348312216,4954.132020807455,279932.6296586474,4760.97028928706,82945.36506392948,9557.07361792213,57908.06121690081,14361.155562550368,158510.81195124862,8157.828429206371,45788.932319421154,11653.570479689064,0.9107145221043397,1.294,0,65840
